Item,Supplier,SupplierPN,Manufacturer,ManufacturerPN,Quantity,Designator,Value,Description,Footprint
1,Digi-Key,,,,,,,,
2,Digi-Key,,TDK,C1608X6S1A475K,3,"C1, C7, C16",4.7uF,"CAP 4.7uF +/-10% 10V X6S 0603",CAP0603
3,Digi-Key,,TDK,C1005X5R1A105K,2,"C2, C20",1uF,"CAP 1uF +/-10% 10V X5R 0402",CAP0402
4,Digi-Key,,TDK,C1005X7R1E104K,6,"C3, C4, C5, C6, C12, C19",0.1uF,"CAP 0.1uF +/-10% 25V X7R 0402",CAP0402
5,Digi-Key,,TDK,C1608X7R1E105K,3,"C8, C10, C13",1uF,"CAP 1uF +/-10% 25V X7R 0603",CAP0603
6,Digi-Key,,TDK,C1005X6S1H103M,4,"C9, C11, C14, C18",0.01uF,"CAP 0.01uF +/-20% 50V X6S 0402",CAP0402
7,Digi-Key,,TDK,C1005C0G1H300J,2,"C15, C17",30pF,"CAP 30pF +/-5% 50V C0G 0402",CAP0402
8,Digi-Key,568-4140-1-ND,"NXP Semiconductors",PRTR5V0U2X,1,D1,,"Diode Array, ESD Protection 1pF USB2.0 SOT143",SOT190P230X110-4N
9,Digi-Key,754-1121-1-ND,Kingbright,APT1608SGC,1,D2,,"LED 1.6X0.8MM 568NM GRN CLR SMD",KINGBRIGHT_LED
10,Digi-Key,754-1123-1-ND,Kingbright,APT1608SURCK,2,"D3, D4",,"LED 1.6X0.8MM 630NM RED CLR SMD",KINGBRIGHT_LED
11,Digi-Key,609-4616-1-ND,FCI,10118193-0001LF,1,J1,,"Connector Receptacle USB - micro B 2.0 5 Position Surface Mount, Right Angle, Horizontal",FCI_10118193
12,Digi-Key,445-1552-1-ND,MMZ1608Y102B,MMZ1608Y102B,4,"L1, L2, L3, L4",,"Ferrite, 1000oh, 400mA, 0603",INDC1608X06N
13,Digi-Key,P.10AKCT-ND,Panasonic,ERJ-2BSFR10X,1,R1,0.1,"RES .1 OHM 1/6W 1% 0402 SMD",RES0402
14,Digi-Key,541-10.0KLCT-ND,Vishay,CRCW040210K0FKED,5,"R2, R7, R8, R11, R12",10.0K,"Resistor SMT 0402 10.0K 1% ohm",RES0402
15,Digi-Key,541-0.0JCT-ND,Vishay,CRCW04020000Z0ED,2,"R3, R13",0,"Resistor SMT 0402 0 1% ohm",RES0402
16,Digi-Key,541-100KLCT-ND,Vishay,CRCW0402100KFKED,1,R4,100K,"Resistor SMT 0402 100K 1% ohm",RES0402
17,Digi-Key,541-100LCT-ND,Vishay,CRCW0402100RFKED,4,"R5, R6, R9, R10",100,"Resistor SMT 0402 100 1% ohm",RES0402
18,Digi-Key,CKN10384CT-ND,"C&K Components","RS-282G05A3-SM RT",2,"S1, S2",,"SWITCH TACTILE SPST-NO 0.05A 12V 6x3.5MM",PTS635
19,Digi-Key,296-18476-1-ND,"Texas Instruments",LP2985-33DBVR,1,U1,,"Single Output Low Noise LDO, 150 mA, Fixed 3.3 V Output, 2.2 to 16 V Input, with Low IQ, 5-pin SOT-23 (DBV), -40 to 125 degC, Green (RoHS & no Sb/Br)",TI-DBV5_N
20,Digi-Key,93AA66AT-I/OTCT-ND,"Microchip Technology",93AA66AT-I/OT,1,U3,,"IC EEPROM 4KBIT 2MHZ SOT23-6",SOT-23-OT6_M
21,Digi-Key,497-13251-ND,Loading...,Loading...,1,U4,,"ARM Cortex-M4 32-bit MCU, 256 KB Flash, 32 KB Internal RAM, 36 I/Os, 48-pin LQFP, -40 to 85 degC, Tray",STM-LQFP48_N
22,Digi-Key,223-1701-1-ND,"TE Connectivity",MS860702BA01-50,1,X1,,"Humidity, Pressure, Temperature Sensor I2C Output",TETempHumidityPressSens
23,Digi-Key,480-5413-ND,Honeywell,SSCDANN150PG2A3,1,X2,,"SENSOR PRES 150PSI GAUG 3.3V DIP I2C",HoneywellPsenseDIP
24,Digi-Key,CTX732CT-ND,"CTS-Frequency Controls",403C11E16M00000,1,Y1,,"CRYSTAL 16.0MHZ 20PF,80ohm PARALLEL SMD +/-10PPM",CRYSTAL_SMD_3.2x2.5
